id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,4
3,1,3,5
4,1,4,6
5,1,5,7
6,1,6,20
7,1,7,23
8,1,8,28
9,1,9,32
10,2,1,3
11,2,2,8
12,2,3,9
13,2,4,10
14,2,5,11
15,2,6,14
16,2,7,15
17,2,8,17
18,3,1,1
19,3,2,2
20,3,3,3
21,3,4,14
22,3,5,15
23,3,6,22
24,3,7,26
25,4,1,1
26,4,2,6
27,4,3,10
28,5,1,1
29,5,2,2
30,5,3,3
31,5,4,13
32,5,5,14
33,5,6,15
34,5,7,16
35,5,8,29
36,5,9,30
37,5,10,37
38,6,1,1
39,6,2,2
40,6,3,3
41,6,4,7
42,6,5,8
43,6,6,11
44,7,1,4
45,7,2,7
46,8,1,4
47,8,2,5
48,8,3,12
49,8,4,15
50,9,1,1
51,9,2,2
52,9,3,3
53,10,1,10
54,11,1,13
55,12,1,18
56,13,1,14
57,14,1,29
58,15,1,19
59,16,1,35
60,17,1,4
61,18,1,13
62,19,1,14
63,20,1,44
