id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,8,25,,13,,,
2,17,30,,15,,,
3,6,15,16,,,,
4,19,43,,17,,,
5,22,32,18,,,,
6,23,39,20,,,,
7,20,9,21,,,,
8,21,36,23,,,,
9,11,5,,24,,,
10,40,31,25,,,,
11,18,16,,26,,,
12,7,24,,28,,,
13,26,,29,,,,
14,13,4,,29,,,
15,38,,30,,,,
16,,1,,30,,,
17,35,,31,,,,
18,,14,,31,,,
19,28,10,32,,,,
20,,29,,32,,,
21,,34,,33,,,
22,44,41,33,,,,
23,,33,,34,,,
24,2,,34,,,,
25,,42,,35,,,
26,27,,35,,,,
27,37,3,,36,,,
28,12,,36,,,,
29,,,37,,,,
30,,,,37,,,
31,,,38,,,,
32,,,,38,,,
33,,,,39,,,
34,,,39,,,,
35,,,,40,,,
36,,,40,,,,
37,,,41,,,,
38,,,,41,,,
39,,,,42,,,
40,,,42,,,,
41,,,44,,,,
42,,,,44,,,
43,,,,,,,
44,,,,,,,
