id,schedule_id,order_id,game_id
1,1,1,2
2,1,2,8
3,1,3,9
4,1,4,10
5,1,5,11
6,1,6,21
7,1,7,22
8,1,8,29
9,2,1,1
10,2,2,2
11,2,3,4
12,2,4,5
13,2,5,6
14,2,6,7
15,2,7,12
16,2,8,13
17,2,9,16
18,3,1,4
19,3,2,5
20,3,3,6
21,3,4,7
22,3,5,16
23,3,6,17
24,3,7,23
25,4,1,2
26,4,2,3
27,4,3,7
28,5,1,4
29,5,2,5
30,5,3,6
31,5,4,17
32,5,5,18
33,5,6,19
34,5,7,20
35,5,8,31
36,5,9,32
37,5,10,38
38,5,11,41
39,6,1,4
40,6,2,5
41,6,3,6
42,6,4,9
43,6,5,10
44,6,6,12
45,7,1,5
46,7,2,8
47,8,1,7
48,8,2,8
49,8,3,13
50,8,4,16
51,9,1,1
52,9,2,2
53,9,3,3
54,9,4,4
55,10,1,9
56,11,1,12
57,12,1,17
58,13,1,13
59,14,1,28
60,15,1,18
61,16,1,34
62,17,1,3
63,18,1,12
64,19,1,13
65,20,1,43
