id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
18,32,18,,27,0,0,0
1,19,12,,4,3,0,0
5,28,34,,23,0,0,0
4,15,19,23,,3,0,
15,33,13,25,,3,0,0
10,31,20,22,,1,0,0
6,17,23,20,,3,0,0
19,10,24,27,,1,0,
24,21,16,,30,0,,
7,25,7,,20,3,0,0
11,22,14,,22,0,,0
26,29,4,,31,0,,
25,33,6,30,,1,,
21,27,5,29,,3,,
27,24,18,31,,0,,
20,17,25,,28,2,,
30,6,16,,33,2,,
22,20,14,,29,0,,
3,2,24,,19,0,0,0
12,30,16,,24,0,0,0
23,15,34,28,,3,,
13,9,21,24,,0,0,0
2,11,22,11,,0,0,0
8,1,27,21,,0,0,0
16,3,4,,26,0,0,0
31,18,4,33,,0,,
17,29,8,26,,4,0,1
14,26,6,,25,0,0,0
9,35,5,,21,1,0,0
29,27,14,,32,2,,
28,15,17,32,,3,,
33,4,6,,35,1,,
32,15,27,35,,3,,0
34,27,4,,,3,0,0
35,15,6,,,1,0,0
