id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
28,12,7,36,,1,0,
8,21,36,23,,1,0,0
32,10,29,,38,0,,
9,11,5,,24,1,0,1
5,22,32,18,,0,0,0
21,20,34,,33,0,,0
6,23,39,20,,0,0,0
34,11,33,39,,1,,
35,27,42,,40,1,,
10,40,31,25,,0,0,0
1,8,25,,13,-1,1,0
39,11,44,,42,0,,
22,44,41,33,,1,0,0
16,6,1,,30,0,,0
29,26,4,37,,1,,
36,12,3,40,,1,,
30,38,1,,37,0,,
17,35,19,31,,1,0,
42,12,44,,44,0,0,
37,26,1,41,,1,,
38,14,29,,41,0,,
11,18,16,,26,0,0,0
23,21,33,,34,0,,0
41,26,29,44,,0,,
18,32,14,,31,0,,0
40,12,27,42,,1,,
43,26,12,,,1,0,0
12,7,24,,28,1,0,0
44,29,44,,,0,0,0
25,31,42,,35,0,,0
26,27,16,35,,1,0,
27,37,3,,36,0,0,0
7,20,9,21,,1,0,0
4,19,43,,17,1,0,0
2,17,30,,15,0,0,0
19,28,10,32,,0,0,0
24,2,11,34,,0,0,
3,6,15,16,,1,0,0
20,39,29,,32,0,,0
33,44,34,,39,1,,
31,35,14,38,,0,,
13,26,25,29,,1,0,
14,13,4,,29,0,0,0
15,38,30,30,,1,0,
