id,name,name_en,order_id,existence,full_name,description,early_round_type,later_round_type
0,'全日程終了',finished,0,1,'','','',''
1,'個人実戦(男子の部)',zissen_man,1,1,'個人実戦(男子の部)','','',''
2,'個人法形(男子の部)',hokei_man,3,1,'個人法形(男子の部)','','運の法形','運の法形'
3,'個人実戦(女子の部)',zissen_woman,2,1,'個人実戦(女子の部)','','',''
4,'個人法形(女子の部)',hokei_woman,4,1,'個人法形(女子の部)','','運の法形','運の法形'
5,'壮年法形',hokei_sonen,14,0,'壮年法形','','',''
6,'女子団体実戦',dantai_zissen_woman,15,0,'女子団体実戦','','',''
7,'男子団体実戦',dantai_zissen_man,16,0,'男子団体実戦','','',''
8,'男子団体法形',dantai_hokei_man,17,0,'男子団体法形','','',''
9,'女子団体法形',dantai_hokei_woman,18,0,'女子団体法形','','',''
10,'男子団体展開',tenkai_man,19,0,'男子団体展開','','',''
11,'女子団体展開',tenkai_woman,20,0,'女子団体展開','','',''
12,'個人法形(新人の部)',hokei_newcommer,5,1,'個人法形(新人の部)','','旋の法形','旋の法形'
13,'男子級位実戦',zissen_kyuui_man,21,0,'男子級位実戦','','',''
14,'男子級位法形',hokei_kyuui_man,22,0,'男子級位法形','','',''
15,'女子級位実戦',zissen_kyuui_woman,23,0,'女子級位実戦','','',''
16,'女子級位法形',hokei_kyuui_woman,24,0,'女子級位法形','','',''
17,'団体実戦',dantai_zissen,25,0,'団体実戦','','',''
18,'団体法形',dantai_hokei,12,1,'団体法形競技','躰道の法形から選択、段級位問わず','',''
19,'団体展開',tenkai,13,1,'団体展開競技','1 チーム 6 名 男女混合可 背番号着用|段級位問わず','',''
20,'個人法形(級位の部)',hokei_kyuui,6,1,'個人法形(級位の部)','','体/陰の法形','体/陰の法形'
21,'個人実戦(壮年の部) 男子',zissen_sonen_man,10,1,'個人実戦(壮年の部) 男子','','',''
22,'個人実戦(壮年の部) 女子',zissen_sonen_woman,11,1,'個人実戦(壮年の部) 女子','','',''
23,'個人法形(制の法形)',hokei_sei,9,1,'個人法形(制の法形)','','制の法形','制の法形'
24,'個人法形(命) 有段者の部',hokei_mei,7,1,'個人法形(命) 有段者の部','','勢命','命の法形'
25,'個人法形(命) 新人/級位の部',hokei_mei_kyuui_newcommer,8,1,'個人法形(命) 新人/級位の部','','勢命','命の法形'
26,'新人団体法形',dantai_hokei_newcommer,9,0,'新人団体法形競技','旋体・旋陰から選択 令和 6年 4 月以降に躰道部に入部した 5 級以下の男女|1 チーム 5 名（ 4 名以下不可）　旋体の場合は男子 3 名以上、旋陰の場合は女子 3 名以上の人員構成とする','',''
