id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,21,18,,10,,,
2,3,31,,18,,,
3,7,33,,19,,,
4,4,29,20,,,,
5,13,24,,20,,,
6,10,23,21,,,,
7,8,1,,21,,,
8,26,30,22,,,,
9,32,15,,22,,,
10,14,,19,,,,
11,6,16,,23,,,
12,12,9,23,,,,
13,11,2,,24,,,
14,27,5,24,,,,
15,20,34,,25,,,
16,25,19,25,,,,
17,22,17,,26,,,
18,28,,26,,,,
19,,,27,,,,
20,,,,27,,,
21,,,28,,,,
22,,,,28,,,
23,,,,29,,,
24,,,29,,,,
25,,,,30,,,
26,,,30,,,,
27,,,31,,,,
28,,,,31,,,
29,,,,32,,,
30,,,32,,,,
31,,,34,,,,
32,,,,34,,,
33,,,,,,,
34,,,,,,,
