"id","event_id","time_schedule","before_final","final","players_checked","next_unused_num"
12,5,"'16:27-16:34'",0,1,1,0
13,2,"'16:37-16:45'",1,1,1,0
14,1,"'16:48-16:55'",1,1,1,0
15,0,"''",0,0,0,0
1,4,"'11:15-12:00'",0,0,1,0
2,4,"'12:03-12:07'",0,0,1,0
3,3,"'12:10-12:55'",0,0,1,0
4,3,"'13:00-13:04'",0,0,1,1
5,10,"'13:30-14:06'",0,0,1,0
6,11,"'14:09-14:37'",0,0,1,0
7,9,"'14:40-15:14'",0,0,1,0
8,6,"'15:17-15:32'",1,0,1,0
9,6,"'15:34-15:49'",0,1,1,0
10,10,"'15:52-16:08'",0,1,1,0
11,11,"'16:10-16:24'",0,1,1,0
