"id","schedule_id","order_id","game_id"
1,1,1,1
11,1,11,21
12,2,1,24
13,3,1,1
47,7,6,7
46,7,7,6
14,3,2,2
15,3,3,3
16,3,4,4
17,3,5,5
18,3,6,10
19,3,7,11
4,1,4,4
7,1,7,13
20,3,8,12
2,1,2,2
8,1,8,14
6,1,6,12
3,1,3,3
5,1,5,5
22,3,10,18
21,3,9,13
23,3,11,19
24,4,1,22
25,5,1,1
9,1,9,15
26,5,2,2
27,5,3,3
29,5,5,5
31,5,7,7
33,5,9,9
32,5,8,8
30,5,6,6
28,5,4,4
34,6,1,1
10,1,10,20
35,6,2,2
36,6,3,3
37,6,4,4
38,6,5,5
39,6,6,6
40,6,7,7
41,7,1,1
42,7,2,2
43,7,3,3
44,7,4,4
45,7,5,5
48,7,8,8
49,8,1,5
51,10,1,10
50,9,1,6
52,10,2,11
53,10,3,12
54,10,4,13
55,11,1,8
56,11,2,9
57,11,3,10
58,11,4,11
60,13,1,25
59,12,1,14
61,13,2,26
62,14,1,33
63,14,2,34
