"id","schedule_id","order_id","game_id"
4,1,4,4
7,1,7,12
5,1,5,5
10,1,10,19
8,1,8,13
2,1,2,2
1,1,1,1
6,1,6,11
3,1,3,3
9,1,9,14
11,1,11,20
12,2,1,23
13,3,1,1
14,3,2,3
15,3,3,4
17,3,5,6
16,3,4,5
19,3,7,8
18,3,6,7
20,3,8,9
21,3,9,10
22,3,10,19
23,3,11,20
24,3,12,21
25,3,13,22
26,3,14,27
28,4,1,31
27,3,15,28
29,5,1,1
30,5,2,2
32,5,4,6
31,5,3,3
33,5,5,7
34,6,1,10
35,7,1,13
36,8,1,9
37,8,2,10
38,8,3,11
39,8,4,12
41,9,2,8
40,9,1,7
42,9,3,9
43,9,4,10
44,10,1,13
45,11,1,26
46,11,2,27
48,12,2,25
47,12,1,24
