"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
14,14,7,,20,0,,0
16,18,24,21,,2,0,
19,1,11,23,,3,,
17,21,8,,22,3,,
18,13,12,22,,3,0,
20,2,7,,23,3,,
21,18,3,,24,0,,
22,13,21,24,,2,,
23,1,2,26,,1,0,0
24,13,3,,26,0,0,0
1,17,25,,11,0,0,0
2,26,9,12,,4,0,1
3,2,20,13,,4,0,1
25,1,13,,,3,0,0
6,15,10,15,,1,0,0
26,2,3,,,0,0,0
4,4,23,,13,2,0,0
5,14,22,14,,4,0,1
7,24,5,,16,3,0,0
8,19,8,,17,-1,1,0
11,1,25,19,,3,0,
9,21,16,17,,3,0,0
12,26,11,,19,0,,0
10,6,12,,18,0,0,0
13,2,4,20,,3,,
15,10,3,,21,0,,0
