"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
13,11,21,,20,0,,0
17,4,25,22,,2,,
14,26,3,21,,3,,
18,10,2,,23,3,,
15,18,22,,21,2,,0
19,17,27,23,,2,0,
20,1,21,24,,3,,
22,4,20,,25,1,,
21,26,18,,24,0,,
23,17,10,25,,3,,
24,1,18,27,,2,0,0
1,8,15,,12,0,0,0
25,17,20,,27,3,0,0
6,7,19,16,,0,0,0
2,12,11,13,,1,0,0
3,26,6,14,,3,0,0
7,25,16,,17,3,0,0
26,18,20,,,1,0,0
8,4,9,17,,3,0,0
9,23,2,,18,-1,1,0
27,1,17,,,0,0,0
4,3,5,,14,3,0,0
10,13,10,18,,0,0,0
5,18,14,15,,3,0,0
11,24,27,,19,1,0,0
12,1,15,20,,3,0,
16,19,20,,22,0,,0
