"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","retire"
1,1,1,17,7.4,6.8,7.5,8.2,7.3,27.56,,0
5,2,1,17.6,7.8,6.5,7.8,8.6,8.4,27.96,,0
6,5,1,,,,,,,,,1
7,6,1,17.3,8.1,7,7.7,8.5,8.3,31.92,,0
8,7,1,16.6,8,7.1,7.2,8.4,8.5,30.73,,0
3,8,1,17.1,6.9,7.2,6.8,8.9,7.4,29.8,,0
9,4,1,16.7,7.5,6.1,6.7,8.1,8,29.72,,0
4,9,1,13.9,5.8,5.9,5.6,7,6,26.18,,0
2,3,1,17.4,7.9,6.4,6.9,7.3,7.8,27.1,,0
10,8,2,18.1,7.1,8.4,8,7.9,8.6,29.54,0,0
11,7,2,17.2,8.7,8.6,8.1,7.7,8.7,29.38,0,0
12,6,2,17,7.5,7,7.4,8.2,5.9,31.56,0,0
13,2,2,16.7,8,8.1,7.9,7.6,8.2,27.97,0,0
