"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","retire"
4,5,1,,,,,,,,,1
1,6,1,16.1,6.8,7.3,8.2,6,7.7,30.46,,0
5,1,1,16,6.7,5.3,7.4,7.4,8.2,28.39,,0
6,3,1,17,7.9,8.3,8.4,8.1,8.3,29.15,,0
2,8,1,15.6,6.4,6.1,6.5,6.8,7,29.02,,0
7,2,1,17.1,8.1,6.6,8.1,8.6,8.9,27.13,,0
3,7,1,15.9,6.9,7.8,6.8,6.4,6.5,25.49,,0
8,1,2,16.4,6.6,6.4,7.6,8.1,6.1,28.29,0,0
9,6,2,17.5,7.2,7,6.9,7.6,7.3,29.55,0,0
10,2,2,17.1,6.8,7.5,7.7,7.8,7.5,27.35,0,0
11,3,2,17.8,7.9,7.9,7.8,8.1,7,28.46,0,0
