"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
14,27,5,24,,2,0,1
15,20,34,,25,0,0,0
10,14,18,19,,0,0,
16,25,19,25,,1,0,0
19,18,33,27,,0,,
17,22,17,,26,1,0,0
18,28,3,26,,1,0,
23,12,16,,29,1,,
20,4,24,,27,0,,
1,21,18,,10,0,0,0
24,27,2,29,,0,,
21,10,8,28,,1,,
25,25,34,,30,0,,
22,26,15,,28,1,,
26,28,22,30,,1,,
27,33,24,31,,0,,
29,2,12,,32,0,,
3,7,33,,19,0,0,0
4,4,29,20,,1,0,0
2,3,31,,18,1,0,0
5,13,24,,20,0,0,0
11,6,16,,23,0,0,0
28,10,26,,31,1,,
6,10,23,21,,1,0,0
7,8,1,,21,2,0,1
8,26,30,22,,1,0,0
30,28,34,32,,1,,
12,12,9,23,,1,0,0
13,11,2,,24,0,0,0
9,32,15,,22,0,0,0
31,24,10,34,,0,0,0
32,28,12,,34,1,0,0
33,24,12,,,1,0,0
34,10,28,,,1,0,0
