"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
13,6,19,,19,0,,0
6,22,7,14,,-1,1,0
18,16,2,22,,0,,
19,24,19,,22,0,,
23,18,1,,25,0,0,0
22,2,19,25,,0,0,0
1,9,12,,10,0,0,0
24,2,18,,,1,0,0
25,19,1,,,0,0,0
7,17,5,,15,1,0,0
8,8,11,16,,1,0,0
2,4,10,11,,1,0,0
9,14,3,,17,0,0,0
3,23,2,,11,0,0,0
14,7,1,,20,0,,0
4,13,21,,12,0,0,0
15,20,17,20,,0,0,
5,6,15,13,,1,0,0
16,8,25,,21,0,,0
10,16,12,18,,1,0,
17,18,3,21,,1,0,
11,4,2,,18,0,,
20,17,1,,23,0,,
12,24,21,19,,1,0,
21,18,25,23,,1,,
