id,group_id,name,name_kana,zissen_man_player_id,hokei_man_player_id,zissen_woman_player_id,hokei_woman_player_id,hokei_sonen_player_id
1,14,高松　大地,たかまつ　だいち,1,,,,
2,14,吉本　一貴,よしもと かずき,2,,,,
3,14,小松　慎太郎,こまつ　しんたろう,,,,,
4,14,富松　亮太,とみまつ　りょうた,,,,,
5,14,佐藤　幹,さとう　もとき,,,,,
6,14,谷井　嶺太,たにい　りょうた,,,,,
7,14,鍵　慶和,かぎ　よしかず,,,,,
8,14,山際　真穂,やまぎわ　まほ,,,1,,
9,14,宇野　友季子,うの　ゆきこ,,,2,,
10,14,大澤　夏帆,おおさわ　かほ,,,3,,
11,14,衣斐 花,えび　はな,,,,,
12,14,山口　佳乃,やまぐち　よしの,,,,,
13,14,若井　香佳,わかい　きょうか,,,,,
14,14,小代田　拓巳,こよだ　たくみ,,,,,
15,14,齋藤　健太,さいとう　けんた,,1,,,
16,14,名倉　崇広,なぐら　たかひろ,,2,,,
17,14,山口　海斗,やまぐち　かいと,,3,,,
18,14,百瀬　晴菜,ももせ　はるな,,,,1,
19,14,細田 美佳,ほそだ　みか,,,,2,
20,14,古明地 未彩,こめいじ　みさ,,,,3,
21,14,多田　倫子,ただ　みちこ,,,,,1
22,14,岡部　明人,おかべ　あきと,,,,,
23,14,小原　瑠唯,おはら　るい,,,,,
24,14,熊田　将,くまだ　まさし,,,,,
25,14,生嶋　望,しょうじま　のぞみ,,,,,
26,14,川原　智博,かわはら　ともひろ,,,,,
27,14,大西　伸明,おおにし　のぶあき,,,,,
28,14,神嵜　洋紀,かんざき　ひろき,,,,,
29,14,樹神　歩,こだま　あゆむ,,,,,
30,14,重村　優太,しげむら　ゆうた,,,,,
31,14,角　悠太朗,かく　ゆうたろう,,,,,
32,14,高松　一茶,たかまつ　いっさ,,,,,
33,14,田中　陸功,たなか　りく,,,,,
34,14,荻野　聖琉,おぎの　せいりゅう,,,,,
35,14,勝部　駿貴,かつべ　としき,,,,,
36,14,中原　啓太,なかはら　けいた,,,,,
37,14,川島　遼也,かわしま　りょうや,,,,,
38,14,髙久　陽規,たかく　はるき,,,,,
39,14,中山　潤,なかやま　じゅん,,,,,
40,14,佐々木　竜胆,ささき　りんどう,,,,,
41,14,小林　雅偉,こばやし　がい,,,,,
42,14,北谷　優貴,きたたに　ゆうき,,,,,
43,14,木村　俊貴,きむら　としき,,,,,
44,14,渋谷　篤季,しぶや　あつき,,,,,
45,14,西川　尚樹,にしかわ　なおき,,,,,
46,14,吉川　友梧,よしかわ　ゆうご,,,,,
47,14,森田　莉菜,もりた　りな,,,,,
48,14,横田　亜依,よこた　あい,,,,,
49,14,安藤　翠,あんどう　すい,,,,,
50,14,丹　みなみ,たん　みなみ,,,,,
51,14,深尾　空,ふかお　そら,,,,,
