id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,10
7,1,7,11
8,1,8,12
9,1,9,13
10,1,10,18
11,1,11,19
12,1,12,22
13,2,1,1
14,2,2,2
15,2,3,8
16,2,4,9
17,2,5,10
18,2,6,11
19,2,7,12
20,2,8,13
21,2,9,14
22,2,10,15
23,2,11,40
24,2,12,41
25,2,13,42
26,2,14,43
27,2,15,56
28,2,16,57
29,2,17,64
30,2,18,68
31,3,1,1
32,3,2,2
33,3,3,3
34,3,4,4
35,3,5,5
36,3,6,10
37,3,7,11
38,3,8,12
39,3,9,13
40,3,10,18
41,3,11,19
42,3,12,22
43,4,1,1
44,4,2,2
45,4,3,5
46,4,4,6
47,4,5,7
48,4,6,8
49,4,7,13
50,4,8,14
51,4,9,17
52,5,1,1
53,5,2,2
54,5,3,3
55,5,4,4
56,5,5,5
57,5,6,6
58,5,7,7
59,5,8,15
60,5,9,16
61,5,10,17
62,5,11,18
63,5,12,23
64,5,13,24
65,5,14,27
66,6,1,1
67,6,2,4
68,7,1,71
69,8,1,25
70,9,1,25
71,10,1,25
72,11,1,30
73,12,1,7
