id,schedule_id,order_id,game_id
1,1,1,6
2,1,2,7
3,1,3,8
4,1,4,9
5,1,5,14
6,1,6,15
7,1,7,16
8,1,8,17
9,1,9,20
10,1,10,21
11,1,11,23
12,2,1,5
13,2,2,6
14,2,3,24
15,2,4,25
16,2,5,26
17,2,6,27
18,2,7,28
19,2,8,29
20,2,9,30
21,2,10,31
22,2,11,48
23,2,12,49
24,2,13,50
25,2,14,51
26,2,15,60
27,2,16,61
28,2,17,66
29,2,18,69
30,3,1,6
31,3,2,7
32,3,3,8
33,3,4,9
34,3,5,14
35,3,6,15
36,3,7,16
37,3,8,17
38,3,9,20
39,3,10,21
40,3,11,23
41,4,1,3
42,4,2,4
43,4,3,9
44,4,4,10
45,4,5,11
46,4,6,12
47,4,7,15
48,4,8,16
49,4,9,18
50,5,1,8
51,5,2,9
52,5,3,10
53,5,4,11
54,5,5,12
55,5,6,13
56,5,7,14
57,5,8,19
58,5,9,20
59,5,10,21
60,5,11,22
61,5,12,25
62,5,13,26
63,5,14,28
64,6,1,2
65,6,2,3
66,6,3,5
67,7,1,70
68,8,1,24
69,9,1,24
70,10,1,24
71,11,1,29
72,12,1,6
