id,schedule_id,order_id,game_id
1,1,1,3
2,1,2,8
3,1,3,9
4,1,4,10
5,1,5,11
6,1,6,14
7,1,7,15
8,1,8,17
10,2,1,7
11,2,2,32
12,2,3,33
13,2,4,34
14,2,5,35
15,2,6,36
16,2,7,37
17,2,8,38
18,2,9,39
19,2,10,52
20,2,11,53
21,2,12,54
22,2,13,55
23,2,14,62
24,2,15,63
25,2,16,67
27,3,1,3
28,3,2,4
29,3,3,9
30,3,4,10
31,3,5,11
32,3,6,12
33,3,7,15
34,3,8,16
35,3,9,18
36,4,1,6
37,4,2,7
38,4,3,8
39,4,4,9
40,4,5,14
41,4,6,15
42,4,7,16
43,4,8,17
44,4,9,20
45,4,10,21
46,4,11,23
48,5,1,5
49,5,2,6
50,5,3,7
51,5,4,8
52,5,5,12
53,5,6,13
54,5,7,15
56,6,1,18
57,7,1,19
58,8,1,16
59,9,1,19
