id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,rigth_retire
1,62,5,,8,,,
2,1,42,15,,,,
3,51,31,,16,,,
4,39,3,23,,,,
5,6,37,24,,,,
6,34,57,,31,,,
7,54,8,,39,,,
8,46,,40,,,,
9,48,9,,40,,,
10,49,13,41,,,,
11,67,17,,41,,,
12,70,21,42,,,,
13,47,25,,42,,,
14,50,29,43,,,,
15,,33,,43,,,
16,35,,44,,,,
17,45,27,,44,,,
18,65,23,45,,,,
19,52,19,,45,,,
20,44,15,46,,,,
21,63,11,,46,,,
22,53,7,47,,,,
23,,61,,47,,,
24,,2,,48,,,
25,10,59,48,,,,
26,14,68,,49,,,
27,18,38,49,,,,
28,22,58,,50,,,
29,26,66,50,,,,
30,30,43,,51,,,
31,64,,51,,,,
32,40,36,,52,,,
33,56,32,52,,,,
34,71,28,,53,,,
35,41,24,53,,,,
36,55,20,,54,,,
37,60,16,54,,,,
38,69,12,,55,,,
39,4,,55,,,,
40,,,56,,,,
41,,,,56,,,
42,,,57,,,,
43,,,,57,,,
44,,,58,,,,
45,,,,58,,,
46,,,59,,,,
47,,,,59,,,
48,,,,60,,,
49,,,60,,,,
50,,,,61,,,
51,,,61,,,,
52,,,,62,,,
53,,,62,,,,
54,,,,63,,,
55,,,63,,,,
56,,,64,,,,
57,,,,64,,,
58,,,65,,,,
59,,,,65,,,
60,,,,66,,,
61,,,66,,,,
62,,,,67,,,
63,,,67,,,,
64,,,68,,,,
65,,,,68,,,
66,,,,69,,,
67,,,69,,,,
68,,,71,,,,
69,,,,71,,,
70,,,,,,,
71,,,,,,,
