id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,4
4,1,4,5
5,1,5,6
6,1,6,7
7,1,7,12
8,1,8,13
9,1,9,16
10,2,1,3
11,2,2,4
12,2,3,16
13,2,4,17
14,2,5,18
15,2,6,19
16,2,7,20
17,2,8,21
18,2,9,22
19,2,10,23
20,2,11,44
21,2,12,45
22,2,13,46
23,2,14,47
24,2,15,58
25,2,16,59
26,2,17,65
27,3,1,1
28,3,2,2
29,3,3,5
30,3,4,6
31,3,5,7
32,3,6,8
33,3,7,13
34,3,8,14
35,3,9,17
36,4,1,1
37,4,2,2
38,4,3,3
39,4,4,4
40,4,5,5
41,4,6,10
42,4,7,11
43,4,8,12
44,4,9,13
45,4,10,18
46,4,11,19
47,4,12,22
48,5,1,1
49,5,2,2
50,5,3,3
51,5,4,4
52,5,5,9
53,5,6,10
54,5,7,11
55,5,8,14
56,6,1,19
57,7,1,20
58,8,1,17
59,9,1,20
