id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
24,6,8,,,3,0,0
25,1,7,,,0,0,0
8,8,20,16,,4,0,1
9,5,25,,17,1,0,0
6,4,15,14,,1,0,0
5,9,13,13,,3,0,0
14,15,7,,20,1,,0
10,6,22,18,,3,0,
7,2,23,,15,3,0,0
15,19,2,20,,0,0,
2,10,16,11,,4,0,1
11,10,18,,18,0,,
17,17,25,21,,3,0,
12,1,3,19,,2,0,
16,8,21,,21,3,,0
20,2,7,,23,1,,
13,9,24,,19,3,,0
21,17,8,23,,0,,
18,6,18,22,,2,,
23,8,7,,25,0,,
19,1,9,,22,2,,
3,11,18,,11,1,0,0
22,6,1,25,,1,,
1,14,22,,10,-1,1,0
4,3,12,,12,2,0,0
