id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
17,1,14,21,,3,0,
10,2,13,18,,3,0,
20,3,7,,23,3,,
6,25,19,14,,1,0,0
7,11,12,,15,-1,1,0
8,18,8,16,,-1,1,0
9,14,9,,17,4,0,1
11,22,5,,18,0,,
21,1,24,23,,3,,
12,4,15,19,,3,0,
13,21,16,,19,3,,0
23,1,3,,25,3,,
18,2,5,22,,3,,
19,4,21,,22,3,,
22,2,4,25,,3,,
1,10,13,,10,0,0,0
24,4,3,,,0,0,0
2,20,22,11,,-1,1,0
25,2,1,,,2,0,0
15,3,12,20,,2,0,
3,17,5,,11,0,0,0
14,19,7,,20,0,,0
4,15,6,,12,2,0,0
16,8,24,,21,0,,0
5,21,23,13,,3,0,0
