id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
28,22,58,,50,3,0,0
51,64,43,61,,1,,
42,70,25,57,,0,,
19,52,19,,45,3,0,0
43,29,42,,57,3,,
38,69,12,,55,0,0,0
1,62,5,,8,3,0,0
39,4,8,55,,-1,1,
29,26,66,50,,0,0,0
30,30,43,,51,-1,1,0
20,44,15,46,,2,0,0
6,34,57,,31,-1,1,0
7,54,8,,39,0,0,0
32,40,36,,52,4,0,1
33,56,32,52,,3,0,0
31,64,57,51,,3,0,
21,63,11,,46,3,0,0
52,56,40,,62,1,,
22,53,7,47,,4,0,1
48,59,37,,60,0,,
25,10,59,48,,-1,1,0
23,39,61,,47,3,,0
3,51,31,,16,0,0,0
44,31,27,58,,0,,
49,38,14,60,,1,,
34,71,28,,53,3,0,0
24,37,2,,48,3,,0
4,39,3,23,,3,0,0
16,35,31,44,,-1,1,
45,65,52,,58,2,,
35,41,24,53,,2,0,0
26,14,68,,49,3,0,0
17,45,27,,44,1,0,0
36,55,20,,54,1,0,0
27,18,38,49,,0,0,0
18,65,23,45,,3,0,0
37,60,16,54,,2,0,0
2,1,42,15,,0,0,0
50,66,22,,61,3,,
46,44,63,59,,1,,
64,13,29,68,,0,,
62,41,40,,67,0,,
8,46,62,40,,0,0,
9,48,9,,40,3,0,0
15,42,33,,43,3,,0
68,29,39,71,,0,,
47,53,39,,59,0,,
60,14,37,,66,0,,
63,12,60,67,,3,,
10,49,13,41,,0,0,0
5,6,37,24,,-1,1,0
70,29,12,,,0,0,0
11,67,17,,41,4,0,1
71,39,37,,,0,0,0
53,41,71,62,,2,,
12,70,21,42,,2,0,0
54,60,20,,63,3,,
13,47,25,,42,0,0,0
55,8,12,63,,1,,
14,50,29,43,,0,0,0
61,43,66,66,,2,,
40,62,48,56,,2,,
58,27,65,65,,0,,
67,12,40,69,,3,,
59,63,39,,65,0,,
41,13,67,,56,3,,
66,43,37,,69,0,,
65,65,39,,68,1,,
56,62,13,64,,0,,
69,12,37,,71,0,,
57,25,29,,64,0,,
