id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
22,25,16,25,,0,,
23,17,13,,25,1,,
24,25,13,,,1,0,0
25,16,17,,,1,0,0
6,22,11,14,,0,0,0
1,4,15,,10,0,0,0
2,20,3,11,,-1,1,0
7,12,8,,15,1,0,0
3,14,6,,11,-1,1,0
8,24,10,16,,0,0,0
4,9,23,,12,1,0,0
9,5,19,,17,1,0,0
5,18,7,13,,0,0,0
14,11,13,,20,0,,0
10,25,15,18,,1,0,
15,21,12,20,,1,0,
11,3,6,,18,1,,
16,10,17,,21,0,,0
12,16,9,19,,1,0,
17,2,5,21,,1,0,
13,7,1,,19,1,,0
20,21,13,,23,0,,
18,25,3,22,,1,,
21,2,17,23,,0,,
19,16,7,,22,1,,
