id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
30,5,4,,,0,0,0
29,9,7,,,0,0,0
7,9,11,,18,1,0,0
8,10,28,,19,1,0,0
9,12,26,19,,0,0,0
10,6,21,,20,1,0,0
11,4,13,20,,1,0,0
12,30,15,,21,1,0,1
15,5,17,23,,1,0,
13,7,22,21,,1,0,0
16,8,14,,23,0,,
14,25,18,,22,1,0,0
17,3,23,24,,1,,
18,20,9,,24,0,,
23,5,14,27,,1,,
19,26,10,,25,0,,
20,4,6,25,,1,,
24,3,9,,27,0,,
1,17,27,,15,1,0,0
2,16,8,16,,0,0,0
21,7,30,,26,1,,
3,14,24,,16,2,0,1
4,3,29,17,,1,0,0
5,19,23,,17,-1,1,0
6,1,20,18,,-1,1,0
27,5,9,30,,1,,
22,2,25,26,,1,0,
25,4,10,,28,1,,
26,2,7,28,,0,,
28,7,4,,30,0,,
