id,group_id,name,nake_kana,zissen_man_player_id,hokei_man_player_id,zissen_woman_player_id,hokei_woman_player_id,hokei_sonen_player_id,hokei_newcommer_player_id,zissen_kyuui_man_player_id,hokei_kyuui_man_player_id,zissen_kyuui_woman_player_id,hokei_kyuui_woman_palyer_id
1,1,名倉 崇広,ナグラ タカヒロ,1,1,,,,,,,,
2,1,小松 慎太郎,コマツ シンタロウ,2,,,,,,,,,
3,1,谷井 嶺太,タニイ リョウタ,3,,,,,,,,,
4,1,齋藤 健太,サイトウ ケンタ,,2,,,,,,,,
5,1,佐藤 幹,サトウ モトキ,4,,,,,,,,,
6,1,吉本 一貴,ヨシモト カズキ,5,,,,,,,,,
7,1,横村 亮太,ヨコムラ リョウタ,6,,,,,,,,,
8,1,高松 大地,タカマツ ダイチ,,,,,,,,,,
9,1,富松 亮太,トミマツ リョウタ,7,,,,,,,,,
10,1,松田 勇太,マツダ ユウタ,,3,,,,,,,,
11,1,中村 航士朗,ナカムラ コウシロウ,8,,,,,,,,,
12,1,安藤 颯馬,アンドウ サツマ,9,,,,,,,,,
13,1,鍵 慶和,カギ ヨシカズ,10,,,,,,,,,
14,1,小代田 拓巳,コヨダ タクミ,,4,,,,,,,,
15,1,山際 真穂,ヤマギワ マホ,,,1,,,,,,,
16,1,宇野 友季子,ウノ ユキコ,,,2,,,,,,,
17,1,大澤 夏帆,オオサワ カホ,,,3,,,,,,,
18,1,佐々木 万凜,ササキ マリン,,,4,1,,,,,,
19,1,百瀬 晴菜,モモセ ハルナ,,,,2,,,,,,
20,2,荻野 聖琉,オギノ セイリュウ,,5,,,,,,,,
21,2,勝部 駿貴,カツベ トシキ,,6,,,,,,,,
22,2,金子 侑生,カネコ ユウセイ,11,,,,,,,,,
23,2,永井 佑季,ナガイ ユウキ,12,,,,,,,,,
24,2,中原 啓太,ナカハラ ケイタ,,7,,,,,,,,
25,2,西田 周平,ニシダ シュウヘイ,13,,,,,,,,,
26,2,川島 遼也,カワシマ リョウヤ,,8,,,,,,,,
27,2,木村 俊貴,キムラ トシキ,14,,,,,,,,,
28,2,佐々木 竜胆,ササキ リンドウ,15,9,,,,,,,,
29,2,佐藤 文太朗,サトウ ブンタロウ,16,,,,,,,,,
30,2,渋谷 篤季,シブヤ アツキ,17,,,,,,,,,
31,2,髙久 陽規,タカク ハルキ,18,10,,,,,,,,
32,2,中山 潤,ナカヤマ ジュン,19,11,,,,,,,,
33,2,飯島 未夢,イイジマ ミム,,,5,,,,,,,
34,2,池田 美璃,イケダ ミリ,,,6,3,,,,,,
35,2,青木 未有,アオキ ミユ,,,7,4,,,,,,
36,2,佐藤 茉奈,サトウ マナ,,,8,5,,,,,,
37,2,野口 ゆいこ,ノグチ ユイコ,,,,6,,,,,,
38,2,横岡 とこは,ヨコオカ トコハ,,,9,7,,,,,,
39,2,若井 香佳,ワカイ キョウカ,,,10,,,,,,,
40,2,津田 大聖,ツダ タイセイ,,,,,,,1,1,,
41,2,西川 尚輝,ニシカワ ナオキ,,,,,,,2,,,
42,2,吉川 友梧,ヨシカワ ユウゴ,,,,,,,,2,,
43,2,浅野 航,アサノ ワタル,,,,,,,3,3,,
44,2,大平 健史,オオダイラ ケンシ,,,,,,,4,4,,
45,2,川内 準之助,カワウチ ジュンノスケ,,,,,,,5,5,,
46,2,小林 雅偉,コバヤシ ガイ,,,,,,,6,6,,
47,2,齋藤 凜ノ助,サイトウ リンノスケ,,,,,,,7,7,,
48,2,當麻 武智,トウマ タケチ,,,,,,,8,8,,
49,2,林 淳之介,ハヤシ ジュンノスケ,,,,,,,9,9,,
50,2,林 悠輝,ハヤシ ユウキ,,,,,,,10,10,,
51,2,鷲見 将太郎,ワシミ ショウタロウ,,,,,,,11,11,,
52,2,伊藤 杏珠,イトウ アンジュ,,,,,,,,,1,1
53,2,伊藤 花帆,イトウ カホ,,,,,,,,,,2
54,2,田中 千福,タナカ チフク,,,,,,,,,2,3
55,2,玉岡 柚子香,タマオカ ユズカ,,,,,,,,,3,4
