id,schedule_id,order_id,game_id
1,1,1,14
2,1,2,15
3,1,3,16
4,1,4,17
5,1,5,18
6,1,6,31
7,1,7,32
8,1,8,33
9,1,9,34
10,1,10,41
11,1,11,42
12,1,12,46
13,2,1,6
14,2,2,7
15,2,3,19
16,2,4,20
17,2,5,21
18,2,6,22
19,2,7,31
20,2,8,32
21,2,9,37
22,3,1,13
23,3,2,14
24,3,3,15
25,3,4,16
26,3,5,29
27,3,6,30
28,3,7,31
29,3,8,32
30,3,9,39
31,3,10,40
32,3,11,44
33,4,1,5
34,4,2,18
35,4,3,19
36,4,4,20
37,4,5,21
38,4,6,28
39,4,7,29
40,4,8,33
41,5,1,1
42,5,2,2
43,5,3,3
44,5,4,4
45,5,5,5
46,5,6,6
47,6,1,4
48,7,1,8
49,8,1,49
50,8,2,50
51,9,1,6
52,9,2,7
53,9,3,8
54,9,4,9
55,10,1,18
56,10,2,19
57,10,3,20
58,10,4,21
59,10,5,22
60,10,6,23
61,11,1,47
62,11,2,48
63,12,1,10
64,13,1,11
