id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,38,14,,11,,,
2,29,34,,13,,,
3,26,18,14,,,,
4,11,41,,15,,,
5,4,39,18,,,,
6,24,8,19,,,,
7,15,32,,22,,,
8,22,2,23,,,,
9,9,7,,24,,,
10,36,19,,26,,,
11,42,,27,,,,
12,30,1,,27,,,
13,23,,28,,,,
14,,3,,28,,,
15,20,,29,,,,
16,16,35,,29,,,
17,13,6,30,,,,
18,,27,,30,,,
19,,17,,31,,,
20,21,40,31,,,,
21,37,25,,32,,,
22,12,,32,,,,
23,,5,,33,,,
24,33,,33,,,,
25,31,10,,34,,,
26,28,,34,,,,
27,,,35,,,,
28,,,,35,,,
29,,,36,,,,
30,,,,36,,,
31,,,,37,,,
32,,,37,,,,
33,,,,38,,,
34,,,38,,,,
35,,,39,,,,
36,,,,39,,,
37,,,,40,,,
38,,,40,,,,
39,,,42,,,,
40,,,,42,,,
41,,,,,,,
42,,,,,,,
