id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,13,26,,17,,,
2,4,44,18,,,,
3,9,39,,19,,,
4,20,43,20,,,,
5,30,3,,21,,,
6,15,23,22,,,,
7,18,41,,23,,,
8,37,40,24,,,,
9,24,6,25,,,,
10,31,21,,26,,,
11,47,14,27,,,,
12,34,2,,28,,,
13,22,36,29,,,,
14,33,10,,30,,,
15,11,8,31,,,,
16,46,17,,32,,,
17,7,,33,,,,
18,,35,,33,,,
19,29,,34,,,,
20,,45,,34,,,
21,28,,35,,,,
22,,27,,35,,,
23,32,,36,,,,
24,,5,,36,,,
25,,25,,37,,,
26,12,,37,,,,
27,,16,,38,,,
28,38,,38,,,,
29,,48,,39,,,
30,42,,39,,,,
31,,19,,40,,,
32,1,,40,,,,
33,,,41,,,,
34,,,,41,,,
35,,,42,,,,
36,,,,42,,,
37,,,,43,,,
38,,,43,,,,
39,,,,44,,,
40,,,44,,,,
41,,,45,,,,
42,,,,45,,,
43,,,,46,,,
44,,,46,,,,
45,,,48,,,,
46,,,,48,,,
47,,,,,,,
48,,,,,,,
