id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,27,18,,7,,,
2,20,36,,10,,,
3,14,31,13,,,,
4,10,35,15,,,,
5,30,6,,21,,,
6,22,1,,22,,,
7,12,,22,,,,
8,33,21,23,,,,
9,7,23,,23,,,
10,28,,24,,,,
11,24,17,,24,,,
12,9,4,25,,,,
13,,8,,25,,,
14,29,26,26,,,,
15,,25,,26,,,
16,5,19,,27,,,
17,13,2,27,,,,
18,32,11,,28,,,
19,16,3,28,,,,
20,15,34,,29,,,
21,37,,29,,,,
22,,,30,,,,
23,,,,30,,,
24,,,31,,,,
25,,,,31,,,
26,,,,32,,,
27,,,32,,,,
28,,,,33,,,
29,,,33,,,,
30,,,34,,,,
31,,,,34,,,
32,,,,35,,,
33,,,35,,,,
34,,,37,,,,
35,,,,37,,,
36,,,,,,,
37,,,,,,,
