"id","event_id","time_schedule","before_final","final","players_checked","next_unused_num"
1,2,"'9:45-10:30'",0,0,1,0
2,4,"'10:30-11:10'",0,0,1,0
3,1,"'11:10-11:55'",0,0,1,0
4,3,"'11:55-12:35'",0,0,1,0
5,11,"'12:35-13:00'",0,0,1,1
6,6,"'14:00-14:20'",0,0,1,0
7,6,"'14:20-14:40'",0,0,1,0
8,4,"'14:40-14:50'",1,1,1,0
9,9,"'14:50-15:14'",0,1,1,0
10,11,"'15:14-15:32'",0,1,1,0
11,10,"'15:32-15:50'",0,1,1,0
12,3,"'15:50-16:00'",1,1,1,0
13,6,"'16:00-16:20'",1,0,1,0
14,6,"'16:20-16:40'",0,1,1,0
15,0,"''",0,0,0,0
