"id","schedule_id","order_id","game_id"
30,3,9,35
33,4,1,2
32,3,11,42
34,4,2,3
35,4,3,10
36,4,4,11
37,4,5,12
38,4,6,13
39,4,7,24
41,4,9,31
45,5,4,4
46,5,5,5
43,5,2,2
42,5,1,1
44,5,3,3
40,4,8,25
6,1,6,24
8,1,8,26
47,5,6,6
51,8,2,42
50,8,1,41
49,7,1,7
52,9,1,11
48,6,1,3
53,9,2,12
54,9,3,13
55,9,4,14
56,10,1,7
60,11,1,7
58,10,3,9
57,10,2,8
61,11,2,8
59,10,4,10
63,11,4,10
62,11,3,9
64,12,1,36
67,14,1,10
66,13,1,9
65,12,2,37
9,1,9,37
1,1,1,6
11,1,11,44
12,2,1,1
13,2,2,2
14,2,3,3
15,2,4,11
16,2,5,12
17,2,6,13
18,2,7,14
19,2,8,27
10,1,10,38
3,1,3,8
4,1,4,9
20,2,9,28
2,1,2,7
5,1,5,23
21,2,10,35
22,3,1,5
23,3,2,6
24,3,3,7
26,3,5,21
25,3,4,8
28,3,7,23
27,3,6,22
7,1,7,25
29,3,8,24
31,3,10,36
