"id","schedule_id","order_id","game_id"
34,4,2,18
36,4,4,20
37,4,5,21
38,4,6,28
39,4,7,29
40,4,8,33
43,5,3,3
44,5,4,4
46,5,6,6
42,5,2,2
41,5,1,1
48,7,1,8
45,5,5,5
47,6,1,4
51,9,1,6
55,10,1,18
54,9,4,9
57,10,3,20
49,8,1,49
50,8,2,50
53,9,3,8
56,10,2,19
52,9,2,7
58,10,4,21
59,10,5,22
62,11,2,48
60,10,6,23
61,11,1,47
64,13,1,11
63,12,1,10
3,1,3,16
5,1,5,18
10,1,10,41
8,1,8,33
9,1,9,34
7,1,7,32
1,1,1,14
2,1,2,15
4,1,4,17
6,1,6,31
11,1,11,42
12,1,12,46
13,2,1,6
15,2,3,19
14,2,2,7
17,2,5,21
16,2,4,20
18,2,6,22
20,2,8,32
19,2,7,31
21,2,9,37
22,3,1,13
23,3,2,14
24,3,3,15
25,3,4,16
27,3,6,30
26,3,5,29
28,3,7,31
29,3,8,32
31,3,10,40
33,4,1,5
32,3,11,44
35,4,3,19
30,3,9,39
