"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
2,46,25,20,,2,0,0
22,21,49,,36,3,,0
8,23,40,,25,3,0,0
11,33,47,,28,1,0,0
37,19,24,44,,1,,
33,45,41,,42,0,,
38,23,36,,44,3,,
35,2,30,43,,3,,
40,26,32,45,,0,,
34,5,37,42,,0,0,
12,20,1,29,,-1,1,0
36,18,21,,43,0,,
15,14,6,,32,0,0,0
44,24,23,,47,2,,
45,32,22,,48,1,,
3,30,48,,20,3,0,0
13,13,26,,30,0,0,0
41,12,17,,46,1,,
9,36,9,26,,3,0,0
16,41,7,,33,3,0,0
43,2,21,47,,2,,
4,11,18,,21,0,0,0
42,37,41,46,,1,,
46,41,17,48,,0,,
23,27,19,37,,1,0,
47,2,24,50,,3,0,0
48,17,22,,50,0,0,0
17,45,4,33,,3,0,0
5,21,42,22,,3,0,0
24,44,24,,37,0,,0
18,10,37,,34,0,0,0
19,2,35,35,,3,0,
25,38,23,38,,0,0,
31,31,17,,41,1,,0
20,46,30,,35,0,,
49,24,17,,,2,0,0
50,2,22,,,1,0,0
26,36,16,,38,3,,0
21,8,18,36,,0,0,
32,12,6,41,,3,0,
27,29,22,,39,1,,0
10,39,29,27,,0,0,0
1,35,15,,19,3,0,0
6,3,19,,23,1,0,0
7,44,43,24,,4,0,1
14,28,31,31,,1,0,0
28,34,47,39,,3,0,
29,1,32,,40,0,,0
30,50,26,40,,0,0,
39,34,22,,45,0,,
