"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
6,24,8,19,,3,0,0
11,42,14,27,,1,0,
17,13,6,30,,1,0,0
23,22,5,,33,1,,0
7,15,32,,22,0,0,0
12,30,1,,27,2,0,0
18,4,27,,30,0,,0
24,33,7,33,,2,0,
19,24,17,,31,0,,0
13,23,34,28,,1,0,
20,21,40,31,,3,0,0
14,26,3,,28,0,,0
21,37,25,,32,1,0,0
22,12,32,32,,0,0,
25,31,10,,34,0,0,0
8,22,2,23,,3,0,0
1,38,14,,11,0,0,0
4,11,41,,15,1,0,0
9,9,7,,24,1,0,0
2,29,34,,13,1,0,0
5,4,39,18,,2,0,0
3,26,18,14,,4,0,1
10,36,19,,26,0,0,0
15,20,41,29,,3,0,
16,16,35,,29,4,0,1
31,21,17,,37,0,,
35,14,3,39,,3,,
32,32,25,37,,3,,
38,28,33,40,,3,,
37,32,17,,40,1,,
39,14,16,42,,1,0,0
29,20,16,36,,0,,
40,28,17,,42,3,0,0
27,14,30,35,,3,,
30,6,27,,36,0,,
41,14,17,,,0,0,0
28,34,3,,35,1,,
42,16,28,,,0,0,0
26,28,19,34,,3,0,
33,33,5,,38,2,,
34,28,10,38,,3,,
36,16,27,,39,2,,
