"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","retire"
4,6,1,,,,,,,,,1
1,2,1,17.7,7.6,5.9,8.2,6.8,8.2,26.3,,0
5,5,1,18.2,8,7.8,8.7,7.1,7.5,28.47,,0
3,1,1,17,6.8,7.3,7,5.9,8,28.16,,0
6,3,1,18.1,7.4,8.1,8.6,6.9,6.9,28.96,,0
2,4,1,18.4,8.3,6.2,8.5,7.2,8,28.78,,0
7,2,2,16.5,8,7.4,7.3,6.6,7.2,26.83,0,0
8,3,2,16.7,8.6,8.3,8,8.8,8,27.95,-1,0
9,4,2,17.5,7.2,7.8,7.5,7.8,7.4,28.39,0,0
10,5,2,18.3,7.9,8.2,7.6,7.6,7.3,29.04,0,0
