"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","retire"
4,1,1,15.7,7.3,7.4,7.4,7.4,7.7,24.76,,0
1,6,1,14.9,6.4,6.8,6.4,7.8,6.9,27.17,,0
5,2,1,16.6,7.9,7.2,7.1,8,7.8,28.32,,0
2,4,1,15.9,6.6,6,6.9,8.2,7.3,28.16,,0
6,5,1,17.3,8,8,7.1,8.4,8.2,28.99,,0
3,3,1,15.8,6.9,6.5,6.3,7.7,7.1,27.47,,0
7,4,2,15.9,6.2,6.1,6.8,7,7.3,28.19,0,0
8,1,2,15.5,6.3,7,7.1,7.1,6.5,25.28,0,0
9,2,2,15.1,6.6,6.2,6.9,6.6,6.8,29.37,0,0
10,5,2,17.9,7.6,7.7,7.5,7.6,7.9,28.59,0,0
