"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
36,18,5,,42,1,,
28,38,2,38,,1,0,
17,7,26,33,,1,0,
41,4,29,45,,0,,
13,22,36,29,,1,0,0
7,18,41,,23,1,0,0
8,37,40,24,,2,0,1
30,42,10,39,,0,0,
37,12,6,,43,1,,
42,15,18,,45,0,,
18,4,35,,33,1,,0
31,11,19,,40,1,,0
9,24,6,25,,0,0,0
38,38,16,43,,1,,
10,31,21,,26,1,0,0
32,1,17,40,,0,0,
39,10,48,,44,0,,
43,38,12,,46,1,,
40,17,11,44,,0,,
44,11,48,46,,0,,
11,47,14,27,,1,0,0
14,33,10,,30,0,0,0
21,28,30,35,,0,0,
22,15,27,,35,2,,1
23,32,18,36,,-1,1,
19,29,9,34,,1,0,
12,34,2,,28,0,0,0
25,6,25,,37,2,,1
45,29,18,48,,0,0,0
15,11,8,31,,1,0,0
20,20,45,,34,0,,0
16,46,17,,32,0,0,0
24,37,5,,36,0,,0
46,48,38,,48,0,0,0
26,12,31,37,,1,0,
33,7,4,41,,0,,
47,29,48,,,0,0,0
48,18,38,,,1,0,0
1,13,26,,17,0,0,0
35,30,15,42,,0,,
27,47,16,,38,0,,0
29,22,48,,39,0,,0
2,4,44,18,,1,0,0
34,29,45,,41,1,,
5,30,3,,21,1,0,0
3,9,39,,19,1,0,0
6,15,23,22,,1,0,0
4,20,43,20,,1,0,0
