"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
12,9,4,25,,1,0,0
33,15,3,35,,0,,
16,5,19,,27,0,0,0
34,1,20,37,,1,0,0
8,33,21,23,,1,0,0
5,30,6,,21,1,0,0
35,3,13,,37,0,0,0
18,32,11,,28,0,0,0
17,13,2,27,,1,0,0
13,14,8,,25,1,,0
36,20,3,,,0,0,0
19,16,3,28,,0,0,0
37,1,13,,,0,0,0
9,7,23,,23,0,0,0
2,20,36,,10,1,0,0
3,14,31,13,,2,0,1
26,29,25,,32,0,,
4,10,35,15,,0,0,0
24,20,17,31,,1,,
1,27,18,,7,0,0,0
20,15,34,,29,1,0,0
22,12,1,30,,0,,
14,29,26,26,,1,0,0
27,13,19,32,,1,,
6,22,1,,22,0,0,0
10,28,20,24,,0,0,
25,9,14,,31,0,,
11,24,17,,24,0,0,0
15,35,25,,26,0,,0
7,12,18,22,,1,0,
21,37,30,29,,1,0,
23,33,23,,30,1,,
32,13,25,,35,1,,
31,20,14,,34,1,,
30,1,33,34,,1,,
28,3,11,,33,1,,
29,37,15,33,,0,,
