id,name,name_en,order_id,existence,full_name,description,early_round_type,later_round_type
0,'全日程終了',finished,0,1,'','','',''
1,'男子個人実戦',zissen_man,1,1,'個人実戦競技（男子の部）','試合時間 1 分 30 秒 (三位決定戦決及び決勝のみ延長あり)|初段以上の男子 面ピット(選択可) ・プロテクター着用','',''
2,'男子個人法形',hokei_man,3,1,'個人法形競技（男子の部）','1 ・ 2 回戦：運体の法形 / 3 回戦以降：体の法形から自由選択|原則として初段以上の男子（監督推薦により 2 級以上も可）','運の法形','自由法形'
3,'女子個人実戦',zissen_woman,2,1,'個人実戦競技（女子の部）','試合時間 1 分 30 秒 (三位決定戦及び決勝のみ延長あり)|初段以上の女子 面ピット(選択可) ・ プロテクター着用','',''
4,'女子個人法形',hokei_woman,4,1,'個人法形競技（女子の部）','1 ・ 2 回戦：運陰の法形 / 3 回戦以降：陰の法形から自由選択|原則として初段以上の女子（監督推薦により 2 級以上も可）','運の法形','自由法形'
5,'壮年法形',hokei_sonen,0,0,'','','',''
6,'女子団体実戦',dantai_zissen_woman,6,1,'女子団体実戦競技','試合時間 1 分 30 秒 1 チーム 3 ～ 5 名|原則として初段以上の男子（監督推薦により 1 級以上も可）|面ピット(選択可) ・ プロテクター着用 （ただし、級位は面ピット必着）','',''
7,'男子団体実戦',dantai_zissen_man,5,1,'男子団体実戦競技','試合時間 1 分 30 秒 1 チーム 3 ～ 5 名|原則として初段以上の男子（監督推薦により 1 級以上も可）|面ピット(選択可) ・ プロテクター着用 （ただし、級位は面ピット必着）','',''
8,'男子団体法形',dantai_hokei_man,7,1,'男子団体法形競技','体の法形から自由選択 　1 チーム 5 名 男女混合不可|原則として初段以上の男子（監督推薦により 4 級以上も可）','',''
9,'女子団体法形',dantai_hokei_woman,8,1,'女子団体法形競技','陰の法形から自由選択 　1 チーム 5 名 男女混合不可|原則として初段以上の女子（監督推薦により 4 級以上も可）','',''
10,'男子団体展開',tenkai_man,10,1,'男子団体展開競技','1 チーム 6 名 　男女混合不可 　背番号着用|原則として初段以上の男子（監督推薦により 4 級以上も可）','',''
11,'女子団体展開',tenkai_woman,11,1,'女子団体展開競技','1 チーム 6 名　 男女混合不可　 背番号着用|原則として初段以上の女子（監督推薦により 4 級以上も可）','',''
12,'個人法形(新人の部)',hokei_newcommer,0,0,'','','',''
13,'男子級位実戦',zissen_kyuui_man,0,0,'級位個人実戦競技（男子の部）','','',''
14,'男子級位法形',hokei_kyuui_man,0,0,'級位個人法形競技（男子の部）','','',''
15,'女子級位実戦',zissen_kyuui_woman,0,0,'級位個人実戦競技（女子の部）','','',''
16,'女子級位法形',hokei_kyuui_woman,0,0,'級位個人法形競技（女子の部）','','',''
17,'団体実戦',dantai_zissen,0,0,'','','',''
18,'団体法形',dantai_hokei,0,0,'団体法形競技','','',''
19,'団体展開',tenkai,0,0,'団体展開競技','','',''
20,'個人法形(級位の部)',hokei_kyuui,0,0,'','','',''
21,'個人実戦(壮年の部) 男子',zissen_sonen_man,0,0,'個人実戦競技（壮年男子の部）','','',''
22,'個人実戦(壮年の部) 女子',zissen_sonen_woman,0,0,'個人実戦競技（壮年女子の部）','','',''
23,'個人法形(制の法形)',hokei_sei,0,0,'個人実戦競技（制の法形）','','',''
24,'個人法形(命) 有段者の部',hokei_mei,0,0,'個人実戦競技（命の法形）','','',''
25,'個人法形(命) 新人/級位の部',hokei_mei_kyuui_newcommer,0,0,'','','',''
26,'新人団体法形',dantai_hokei_newcommer,9,1,'新人団体法形競技','旋体・旋陰から選択 令和 6年 4 月以降に躰道部に入部した 5 級以下の男女|1 チーム 5 名（ 4 名以下不可）　旋体の場合は男子 3 名以上、旋陰の場合は女子 3 名以上の人員構成とする','',''
