id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,18,'9:00-9:20',0,0,0,0
2,2,'9:20-10:20',0,0,0,0
3,4,'10:20-11:00',0,0,0,0
4,20,'11:00-11:40',0,0,0,0
5,12,'11:40-11:55',0,0,0,0
6,2,'11:55-12:05',0,0,0,0
7,22,'12:05-12:15',0,0,0,1
8,24,'13:00-13:30',0,0,0,0
9,23,'13:30-13:55',0,0,0,0
10,1,'13:55-14:55',0,0,0,0
11,3,'14:55-15:20',0,0,0,1
12,19,'15:40-15:50',0,1,0,0
13,24,'15:50-15:54',0,1,0,0
14,23,'15:54-15:58',0,1,0,0
15,20,'15:58-16:02',0,1,0,0
16,4,'16:02-16:06',0,1,0,0
17,2,'16:06-16:10',0,1,0,0
18,22,'16:10-16:14',0,1,0,0
19,21,'16:14-16:18',0,1,0,0
20,3,'16:18-16:22',0,1,0,0
21,1,'16:22-16:26',0,1,0,0
22,0,'',0,0,0,0
