id,schedule_id,order_id,game_id
1,1,1,4
2,1,2,5
3,1,3,6
4,1,4,7
5,2,1,13
6,2,2,14
7,2,3,15
8,2,4,16
9,2,5,17
10,2,6,18
11,2,7,32
12,2,8,33
13,2,9,34
14,2,10,35
15,2,11,44
16,2,12,45
17,2,13,50
18,3,1,5
19,3,2,6
20,3,3,7
21,3,4,8
22,3,5,19
23,3,6,20
24,3,7,27
25,4,1,5
26,4,2,18
27,4,3,19
28,4,4,20
29,4,5,21
30,4,6,28
31,4,7,29
32,4,8,33
33,5,1,1
34,5,2,6
35,6,1,30
36,6,2,31
37,7,1,3
38,7,2,6
39,7,3,7
40,7,4,9
41,8,1,4
42,8,2,5
43,8,3,6
44,8,4,9
45,8,5,10
46,8,6,12
47,9,1,2
48,9,2,3
49,9,3,8
50,9,4,9
51,9,5,16
52,10,1,1
53,10,2,8
54,10,3,9
55,10,4,10
56,10,5,11
57,10,6,12
58,10,7,13
59,10,8,14
60,10,9,15
61,10,10,40
62,10,11,41
63,10,12,42
64,10,13,43
65,10,14,56
66,10,15,57
67,10,16,64
68,10,17,68
69,11,1,3
70,11,2,4
71,11,3,5
72,11,4,12
73,11,5,13
74,11,6,19
75,12,1,15
76,12,2,16
77,12,3,17
78,12,4,18
79,13,1,14
80,14,1,13
81,15,1,36
82,16,1,32
83,17,1,54
84,18,1,5
85,19,1,10
86,20,1,24
87,21,1,70
