id,schedule_id,order_id,game_id
1,1,1,8
2,1,2,9
3,1,3,10
4,1,4,11
5,2,1,19
6,2,2,20
7,2,3,21
8,2,4,22
9,2,5,23
10,2,6,36
11,2,7,37
12,2,8,38
13,2,9,39
14,2,10,46
15,2,11,47
16,2,12,51
17,3,1,10
18,3,2,11
19,3,3,12
20,3,4,13
21,3,5,22
22,3,6,23
23,3,7,28
24,4,1,1
25,4,2,6
26,4,3,7
27,4,4,8
28,4,5,9
29,4,6,22
30,4,7,23
31,4,8,30
32,5,1,2
33,5,2,3
34,5,3,7
35,6,1,34
36,6,2,35
37,7,1,1
38,7,2,2
39,7,3,4
40,7,4,5
41,7,5,8
42,8,1,1
43,8,2,2
44,8,3,3
45,8,4,7
46,8,5,8
47,8,6,11
48,9,1,4
49,9,2,5
50,9,3,13
51,9,4,14
52,9,5,17
53,10,1,6
54,10,2,7
55,10,3,32
56,10,4,33
57,10,5,34
58,10,6,35
59,10,7,36
60,10,8,37
61,10,9,38
62,10,10,39
63,10,11,52
64,10,12,53
65,10,13,54
66,10,14,55
67,10,15,62
68,10,16,63
69,10,17,67
70,10,18,69
71,11,1,6
72,11,2,7
73,11,3,14
74,11,4,15
75,11,5,20
76,12,1,13
77,13,1,21
