id,schedule_id,order_id,game_id
1,1,1,12
2,1,2,13
3,1,3,14
4,2,1,1
5,2,2,2
6,2,3,3
7,2,4,4
8,2,5,5
9,2,6,6
10,2,7,24
11,2,8,25
12,2,9,26
13,2,10,27
14,2,11,40
15,2,12,41
16,2,13,48
17,3,1,14
18,3,2,15
19,3,3,16
20,3,4,17
21,3,5,24
22,3,6,25
23,3,7,29
24,4,1,2
25,4,2,3
26,4,3,10
27,4,4,11
28,4,5,12
29,4,6,13
30,4,7,24
31,4,8,25
32,4,9,31
33,5,1,4
34,5,2,8
35,6,1,10
36,6,2,11
37,7,1,2
38,7,2,4
39,8,1,4
40,8,2,5
41,8,3,6
42,8,4,9
43,8,5,10
44,8,6,12
45,9,1,6
46,9,2,11
47,9,3,12
48,9,4,18
49,9,5,20
50,10,1,4
51,10,2,5
52,10,3,24
53,10,4,25
54,10,5,26
55,10,6,27
56,10,7,28
57,10,8,29
58,10,9,30
59,10,10,31
60,10,11,48
61,10,12,49
62,10,13,50
63,10,14,51
64,10,15,60
65,10,16,61
66,10,17,66
67,11,1,8
68,11,2,9
69,11,3,16
70,11,4,17
71,11,5,21
72,11,6,23
73,12,1,13
74,13,1,12
