id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,16,33,,6,,,
2,14,1,,10,,,
3,17,36,13,,,,
4,15,18,14,,,,
5,31,37,,21,,,
6,19,,22,,,,
7,6,27,,22,,,
8,28,22,23,,,,
9,7,11,,23,,,
10,32,,24,,,,
11,29,23,,24,,,
12,12,3,25,,,,
13,,25,,25,,,
14,,21,,26,,,
15,35,5,26,,,,
16,24,9,,27,,,
17,4,10,27,,,,
18,26,8,,28,,,
19,34,30,28,,,,
20,13,2,,29,,,
21,20,,29,,,,
22,,,30,,,,
23,,,,30,,,
24,,,31,,,,
25,,,,31,,,
26,,,,32,,,
27,,,32,,,,
28,,,,33,,,
29,,,33,,,,
30,,,34,,,,
31,,,,34,,,
32,,,,35,,,
33,,,35,,,,
34,,,37,,,,
35,,,,37,,,
36,,,,,,,
37,,,,,,,
