id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,15,27,,24,,,
2,51,30,25,,,,
3,46,52,,25,,,
4,21,18,26,,,,
5,3,55,,26,,,
6,29,44,27,,,,
7,35,5,,28,,,
8,24,1,29,,,,
9,48,17,,29,,,
10,13,50,30,,,,
11,54,31,,30,,,
12,12,33,31,,,,
13,10,34,32,,,,
14,38,19,,33,,,
15,2,41,33,,,,
16,53,4,,34,,,
17,49,28,34,,,,
18,22,16,,35,,,
19,39,47,36,,,,
20,9,20,,37,,,
21,26,7,,38,,,
22,40,6,38,,,,
23,36,32,,39,,,
24,11,,40,,,,
25,,,,40,,,
26,,,41,,,,
27,,37,,41,,,
28,42,,42,,,,
29,,,,42,,,
30,,,43,,,,
31,,8,,43,,,
32,,25,,44,,,
33,,,44,,,,
34,,,,45,,,
35,45,,45,,,,
36,,23,,46,,,
37,14,,46,,,,
38,,,,47,,,
39,43,,47,,,,
40,,,48,,,,
41,,,,48,,,
42,,,49,,,,
43,,,,49,,,
44,,,,50,,,
45,,,50,,,,
46,,,,51,,,
47,,,51,,,,
48,,,52,,,,
49,,,,52,,,
50,,,,53,,,
51,,,53,,,,
52,,,55,,,,
53,,,,55,,,
54,,,,,,,
55,,,,,,,
