id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,26,9,,9,,,
2,20,5,,21,,,
3,16,25,18,,,,
4,2,32,,18,,,
5,18,22,19,,,,
6,29,23,,19,,,
7,17,10,20,,,,
8,6,28,,20,,,
9,13,,21,,,,
10,1,15,,22,,,
11,21,24,22,,,,
12,33,14,,23,,,
13,7,27,23,,,,
14,4,3,,24,,,
15,8,19,24,,,,
16,30,12,,25,,,
17,31,11,25,,,,
18,,,,26,,,
19,,,27,,,,
20,,,,27,,,
21,,,26,,,,
22,,,,28,,,
23,,,28,,,,
24,,,,29,,,
25,,,29,,,,
26,,,30,,,,
27,,,,30,,,
28,,,,31,,,
29,,,31,,,,
30,,,33,,,,
31,,,,33,,,
32,,,,,,,
33,,,,,,,
