"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
1,16,33,,6,1,0,0
34,19,3,37,,3,0,0
12,12,3,25,,0,0,0
35,20,21,,37,3,0,0
28,34,8,,33,0,,
13,36,25,,25,1,,0
6,19,33,22,,3,0,
29,20,13,33,,3,,
36,3,21,,,0,0,0
37,19,20,,,0,0,0
14,15,21,,26,0,,0
24,32,23,31,,1,,
7,6,27,,22,0,0,0
25,3,25,,31,2,,
33,20,8,35,,3,,
5,31,37,,21,3,0,0
8,28,22,23,,0,0,0
18,26,8,,28,1,0,0
9,7,11,,23,4,0,1
2,14,1,,10,-1,1,0
3,17,36,13,,1,0,0
19,34,30,28,,3,0,0
10,32,1,24,,3,0,
20,13,2,,29,3,0,0
15,35,5,26,,3,0,0
4,15,18,14,,2,0,0
11,29,23,,24,0,0,0
21,20,31,29,,3,0,
16,24,9,,27,3,0,0
17,4,10,27,,1,0,0
26,35,21,,32,0,,
27,10,24,32,,2,,
31,23,3,,34,0,,
22,19,27,30,,3,,
32,10,21,,35,0,,
23,22,7,,30,3,,
30,19,22,34,,3,,
