"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
2,51,30,25,,3,0,1
36,39,23,,46,3,,0
8,24,1,29,,3,0,0
14,38,19,,33,0,0,0
29,24,48,,42,1,,
15,2,41,33,,4,0,1
16,53,4,,34,-1,1,0
17,49,28,34,,-1,1,0
18,22,16,,35,4,0,1
45,45,28,50,,3,,
3,46,52,,25,2,0,0
37,14,9,46,,0,0,
30,13,31,43,,1,,
27,29,37,,41,0,,0
9,48,17,,29,2,0,0
38,40,26,,47,2,,
50,45,19,,53,2,,
40,11,46,48,,3,,
32,10,25,,44,0,,0
39,43,36,47,,3,0,
4,21,18,26,,3,0,0
41,21,37,,48,0,,
31,12,8,,43,0,,0
42,42,48,49,,3,,
46,9,39,,51,0,,
19,39,47,36,,3,0,0
20,9,20,,37,3,0,0
48,11,37,52,,3,,
47,43,40,51,,3,,
43,31,8,,49,0,,
7,35,5,,28,0,0,0
49,42,8,,52,3,,
13,10,34,32,,3,0,0
1,15,27,,24,2,0,0
51,43,39,53,,3,,
10,13,50,30,,3,0,0
33,2,19,44,,0,,
6,29,44,27,,4,0,1
11,54,31,,30,0,0,0
21,26,7,,38,3,0,0
34,28,4,,45,3,,
52,11,42,55,,2,0,0
22,40,6,38,,3,0,0
12,12,33,31,,3,0,0
35,45,22,45,,3,0,
24,11,15,40,,2,0,
23,36,32,,39,2,0,0
25,51,46,,40,0,,
28,42,5,42,,3,0,
44,19,25,,50,3,,
53,43,45,,55,3,0,0
5,3,55,,26,-1,1,0
26,21,55,41,,3,,
55,11,43,,,4,0,1
54,42,45,,,2,0,0
