"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
20,10,28,,27,1,,
17,31,11,25,,3,0,0
4,2,32,,18,1,0,0
12,33,14,,23,1,0,0
24,8,3,,29,0,,
27,18,28,,30,3,,
9,13,26,21,,3,0,
25,31,12,29,,3,,
13,7,27,23,,3,0,0
18,25,32,,26,0,,
22,24,15,,28,1,,
29,31,3,31,,1,,
5,18,22,19,,3,0,0
21,13,20,26,,3,,
23,7,14,28,,3,,
26,13,32,30,,3,,
6,29,23,,19,0,0,0
28,7,15,,31,3,,
7,17,10,20,,0,0,0
14,4,3,,24,0,0,0
1,26,9,,9,3,0,0
8,6,28,,20,0,0,0
15,8,19,24,,3,0,0
2,20,5,,21,3,0,0
10,1,15,,22,0,0,0
19,18,23,27,,3,,
16,30,12,,25,0,0,0
3,16,25,18,,0,0,0
11,21,24,22,,0,0,0
30,13,18,33,,3,0,0
31,3,7,,33,2,0,0
32,18,7,,,2,0,0
33,13,3,,,0,0,0
