"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
1,38,4,,8,1,0,0
39,13,,55,,2,0,
6,6,71,32,,0,0,0
7,2,61,,39,-2,1,1
48,48,51,,60,0,,
2,16,10,,16,0,0,0
4,37,21,24,,1,0,0
66,33,51,,69,0,,
5,64,8,,31,-1,1,0
33,45,29,52,,0,0,0
14,50,40,43,,0,0,0
67,13,52,69,,1,,
22,24,62,47,,1,0,0
65,10,58,,68,0,,
52,29,49,,62,1,,
30,41,56,,51,0,0,0
23,19,28,,47,1,,0
8,18,38,40,,1,0,
15,59,46,,43,0,0,0
3,70,19,23,,0,0,0
32,71,49,,52,0,,0
9,15,63,,40,0,0,0
53,52,23,62,,1,,
49,43,11,60,,1,,
44,10,32,58,,1,,
68,18,58,71,,1,,
24,37,51,,48,0,,0
40,18,63,56,,1,,
50,14,33,,61,0,,
10,27,57,41,,0,0,0
69,13,51,,71,1,,
16,7,10,44,,0,0,
54,67,68,,63,1,,
41,57,30,,56,1,,
45,35,54,,58,1,,
25,60,48,48,,0,0,0
70,58,51,,,0,0,0
34,55,23,,53,0,0,0
71,18,13,,,0,0,0
51,22,56,61,,1,,
42,26,12,57,,1,,
62,52,29,,67,1,,
46,42,58,59,,0,,
26,11,69,,49,2,0,1
55,13,36,63,,1,,
27,43,39,49,,2,0,1
17,32,66,,44,1,0,0
11,47,30,,41,0,0,0
28,5,33,,50,0,0,0
18,44,35,45,,0,0,0
43,40,46,,57,0,,
19,54,3,,45,2,0,1
35,52,34,53,,1,0,0
36,68,20,,54,2,0,1
12,26,31,42,,1,0,0
60,43,51,,66,0,,
20,1,42,46,,0,0,0
29,14,25,50,,1,0,0
37,67,9,54,,1,0,0
13,12,53,,42,1,0,0
31,22,8,51,,1,0,
21,17,58,,46,0,0,0
38,36,65,,55,1,0,0
56,18,57,64,,1,,
47,24,19,,59,1,,
61,22,33,66,,0,,
57,26,46,,64,1,,
63,13,67,67,,1,,
58,10,35,65,,1,,
59,58,24,,65,1,,
64,18,26,68,,1,,
