"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
18,3,24,22,,1,,
4,7,4,,12,0,0,0
5,25,14,13,,1,0,0
12,12,4,19,,1,,
23,11,23,,25,0,,
13,25,19,,19,0,,0
19,12,19,,22,1,,
22,3,12,25,,1,,
8,5,2,16,,0,0,0
25,3,23,,,0,0,0
9,15,1,,17,0,0,0
24,12,11,,,1,0,0
1,3,9,,10,1,0,0
6,20,16,14,,0,0,0
16,2,11,,21,0,,0
2,21,8,11,,1,0,0
7,6,13,,15,0,0,0
17,18,1,21,,1,0,
14,16,23,,20,0,,0
10,10,3,18,,0,0,
15,22,13,20,,1,0,
21,18,11,23,,0,,
11,21,24,,18,0,,0
3,12,17,12,,1,0,0
20,22,23,,23,0,,
