id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,34,'9:20-9:52',0,0,0,0
2,28,'9:55-10:18',0,0,0,0
3,35,'10:21-10:53',0,0,0,0
4,29,'10:56-11:34',0,0,0,0
5,1,'11:37-12:03',0,0,0,1
6,7,'14:00-14:45',0,0,0,0
7,7,'14:45-15:00',0,0,0,0
8,20,'15:05-15:10',1,0,0,0
9,4,'15:10-15:15',1,0,0,0
10,2,'15:15-15:20',1,0,0,0
11,7,'15:50-16:05',1,0,0,0
12,28,'16:08-16:12',0,1,0,0
13,32,'16:12-16:16',0,1,0,0
14,36,'16:16-16:20',0,1,0,0
15,31,'16:23-16:25',0,1,0,0
16,35,'16:25-16:27',0,1,0,0
17,3,'16:27-16:30',0,1,0,0
18,0,'',0,0,0,0
