id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,10
7,1,7,11
8,1,8,12
9,1,9,13
10,1,10,18
11,1,11,19
12,1,12,22
13,2,1,1
14,2,2,2
15,2,3,3
16,2,4,4
17,2,5,5
18,2,6,11
19,2,7,12
20,2,8,13
21,2,9,14
22,2,10,19
23,2,11,20
24,2,12,23
25,3,1,4
26,3,2,5
27,3,3,6
28,3,4,7
29,3,5,12
30,3,6,13
31,3,7,14
32,3,8,15
33,3,9,18
34,3,10,19
35,3,11,21
36,4,1,1
37,4,2,2
38,4,3,3
39,4,4,4
40,4,5,5
41,4,6,6
42,4,7,7
43,4,8,8
44,5,1,2
45,5,2,3
46,5,3,8
47,5,4,9
48,5,5,10
49,5,6,11
50,5,7,14
51,5,8,15
52,5,9,17
53,6,1,2
54,6,2,3
55,6,3,9
56,7,1,16
57,7,2,17
58,7,3,18
59,7,4,19
60,8,1,18
61,8,2,19
62,8,3,20
63,8,4,21
64,9,1,25
65,10,1,30
66,11,1,21
67,12,1,26
68,13,1,21
69,14,1,18
