id,schedule_id,order_id,game_id
1,1,1,6
2,1,2,7
3,1,3,8
4,1,4,9
5,1,5,14
6,1,6,15
7,1,7,16
8,1,8,17
9,1,9,20
10,1,10,21
11,1,11,23
12,2,1,6
13,2,2,7
14,2,3,8
15,2,4,9
16,2,5,10
17,2,6,15
18,2,7,16
19,2,8,17
20,2,9,18
21,2,10,21
22,2,11,22
23,2,12,24
24,3,1,1
25,3,2,2
26,3,3,3
27,3,4,4
28,3,5,5
29,3,6,6
30,3,7,7
31,4,1,6
32,4,2,7
33,4,3,8
34,4,4,9
35,4,5,10
36,4,6,11
37,4,7,16
38,4,8,17
39,4,9,18
40,4,10,19
41,4,11,22
42,4,12,23
43,4,13,25
44,5,1,1
45,5,2,2
46,5,3,3
47,5,4,4
48,5,5,5
49,5,6,6
50,6,1,4
51,6,2,5
52,6,3,10
53,7,1,15
54,8,1,26
55,9,1,24
56,10,1,19
57,11,1,22
58,12,1,7
