id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,25,1,,16,,,
2,6,18,17,,,,
3,4,14,,17,,,
4,28,30,18,,,,
5,22,23,,18,,,
6,8,17,19,,,,
7,20,15,,19,,,
8,29,13,,20,,,
9,12,5,20,,,,
10,31,9,,21,,,
11,21,26,21,,,,
12,24,11,,22,,,
13,2,19,22,,,,
14,27,3,,23,,,
15,16,7,23,,,,
16,10,,24,,,,
17,,,,24,,,
18,,,25,,,,
19,,,,25,,,
20,,,,26,,,
21,,,26,,,,
22,,,,27,,,
23,,,27,,,,
24,,,28,,,,
25,,,,28,,,
26,,,,29,,,
27,,,29,,,,
28,,,31,,,,
29,,,,31,,,
30,,,,,,,
31,,,,,,,
