"id","event_id","time_schedule","before_final","final","players_checked","next_unused_num"
17,0,"''",0,0,0,0
1,34,"'9:20-9:52'",0,0,1,0
2,28,"'9:55-10:18'",0,0,1,0
3,18,"'10:23-11:38'",0,0,1,2
4,19,"'13:00-13:51'",0,0,1,0
5,7,"'14:00-14:30'",0,0,1,0
6,7,"'14:45-15:00'",0,0,1,0
7,20,"'15:05-15:10'",0,1,1,0
8,4,"'15:10-15:15'",0,1,1,0
9,2,"'15:15-15:20'",0,1,1,0
10,7,"'15:50-16:05'",0,1,1,0
13,34,"'16:16-16:20'",0,1,1,0
12,30,"'16:12-16:16'",0,1,1,0
11,27,"'16:08-16:12'",0,1,1,0
14,29,"'16:23-16:25'",0,1,1,0
15,33,"'16:25-16:27'",0,1,1,0
16,1,"'16:27-16:30'",0,1,1,0
