"id","schedule_id","order_id","game_id"
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,7
5,1,5,8
6,1,6,9
7,1,7,10
8,1,8,15
9,1,9,16
10,1,10,19
11,2,1,1
12,2,2,2
13,2,3,3
14,2,4,4
15,2,5,9
16,2,6,10
17,2,7,13
18,3,1,1
38,4,6,6
39,4,7,7
40,4,8,8
41,4,9,9
42,4,10,10
43,4,11,11
44,4,12,12
45,4,13,13
46,4,14,14
47,4,15,15
48,4,16,16
49,4,17,17
50,5,1,1
51,5,2,8
52,6,1,12
53,7,1,10
54,8,1,9
55,9,1,23
56,10,1,15
57,11,1,26
58,12,1,31
59,13,1,22
60,14,1,27
61,15,1,22
62,16,1,19
20,3,2,3
21,3,3,4
22,3,4,5
23,3,5,6
25,3,6,8
26,3,7,9
27,3,8,10
31,3,9,14
32,3,10,15
24,3,11,7
19,3,12,2
29,3,13,12
30,3,14,13
28,3,15,11
34,4,1,2
35,4,2,3
36,4,3,4
37,4,4,5
33,4,5,1
