"id","schedule_id","order_id","game_id"
1,1,1,4
2,1,2,5
3,1,3,6
4,1,4,11
5,1,5,12
6,1,6,13
7,1,7,14
8,1,8,17
9,1,9,18
10,1,10,20
11,2,1,5
12,2,2,6
13,2,3,7
14,2,4,8
15,2,5,11
16,2,6,12
17,2,7,14
18,3,1,1
19,3,2,2
20,3,3,3
21,3,4,8
22,3,5,9
23,3,6,10
24,3,7,11
25,3,8,16
26,3,9,17
27,3,10,20
28,4,1,1
29,4,2,2
30,4,3,3
31,4,4,4
32,4,5,5
33,4,6,12
34,4,7,13
35,4,8,14
36,4,9,15
37,4,10,20
38,4,11,21
39,4,12,24
40,5,1,1
41,5,2,4
42,5,3,5
43,5,4,6
44,5,5,7
45,5,6,12
46,5,7,13
47,5,8,16
48,6,1,6
49,6,2,7
50,6,3,11
51,7,1,13
52,8,1,9
53,9,1,8
54,10,1,22
55,11,1,14
56,12,1,16
57,13,1,27
58,14,1,25
59,15,1,20
60,16,1,23
61,17,1,8
