"id","event_id","time_schedule","before_final","final","players_checked","next_unused_num"
15,0,"''",0,0,0,0
1,36,"'9:20-9:58'",0,0,1,0
2,27,"'10:01-10:39'",0,0,1,0
3,35,"'10:42-11:17'",0,0,1,0
4,20,"'11:20-11:46'",0,0,1,0
5,1,"'11:49-12:18'",0,0,1,1
6,7,"'14:00-14:45'",0,0,1,1
7,18,"'15:05-15:25'",0,1,1,0
8,19,"'15:30-15:42'",0,1,1,2
9,27,"'16:08-16:12'",1,0,1,0
11,34,"'16:16-16:20'",1,0,1,0
10,30,"'16:12-16:16'",1,0,1,0
12,29,"'16:23-16:25'",1,0,1,0
14,1,"'16:27-16:30'",1,0,1,0
13,33,"'16:25-16:27'",1,0,1,0
