"id","schedule_id","order_id","game_id"
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,12
7,1,7,13
8,1,8,14
9,1,9,15
10,1,10,20
11,1,11,21
12,1,12,24
13,2,1,1
14,2,2,2
15,2,3,3
16,2,4,4
17,2,5,5
18,2,6,6
19,2,7,7
20,2,8,16
21,2,9,17
22,2,10,18
23,2,11,19
24,2,12,24
25,2,13,25
26,2,14,28
27,3,1,1
28,3,2,2
29,3,3,3
30,3,4,8
31,3,5,9
32,3,6,10
33,3,7,11
34,3,8,16
35,3,9,17
36,3,10,20
37,4,1,3
38,4,2,4
39,4,3,9
40,4,4,10
41,4,5,11
42,4,6,12
43,4,7,15
44,4,8,16
45,4,9,18
46,5,1,1
47,5,2,2
48,5,3,3
49,5,4,7
50,5,5,8
51,5,6,9
52,5,7,10
53,5,8,15
54,5,9,16
55,5,10,19
