"id","schedule_id","order_id","game_id"
1,1,1,6
2,1,2,7
3,1,3,8
4,1,4,9
5,1,5,10
6,1,6,11
7,1,7,16
8,1,8,17
9,1,9,18
10,1,10,19
11,1,11,22
12,1,12,23
13,1,13,25
14,2,1,8
15,2,2,9
16,2,3,10
17,2,4,11
18,2,5,12
19,2,6,13
20,2,7,14
21,2,8,15
22,2,9,20
23,2,10,21
24,2,11,22
25,2,12,23
26,2,13,26
27,2,14,27
28,2,15,29
29,3,1,4
30,3,2,5
31,3,3,6
32,3,4,7
33,3,5,12
34,3,6,13
35,3,7,14
36,3,8,15
37,3,9,18
38,3,10,19
39,3,11,21
40,4,1,1
41,4,2,2
42,4,3,5
43,4,4,6
44,4,5,7
45,4,6,8
46,4,7,13
47,4,8,14
48,4,9,17
49,5,1,4
50,5,2,5
51,5,3,6
52,5,4,11
53,5,5,12
54,5,6,13
55,5,7,14
56,5,8,17
57,5,9,18
58,5,10,20
